Crab,1,1
variations.,1,0
seen,9,8
seem,7,1
Mercia,1,1
well!,1,0
others.,1,0
circle,,1,1
Then,3,8
chin.,2,0
do.,2,0
mostly,1,1
do,,5,6
up!',1,1
thoroughly,2,2
neck,4,6
NEVER,2,2
surprise.,2,0
eagerly,3,3
do:,1,1
spoke.,3,0
'Seals,,0,1
subjects,1,1
soup.,1,0
doors,2,2
laughed,1,1
treat.,1,0
Tarts?,1,0
'Twinkle,,1,1
long;,1,1
nobody,3,3
though,6,4
doze;,1,1
'Herald,,0,1
TWO--",1,1
see:,1,3
Suppress,0,1
askance--,1,1
change,,1,1
mouth,4,6
nonsense.',1,1
plenty,1,1
long,,1,1
nonsense,',1,1
that!',3,7
see,,4,8
promising,,1,1
feeble,,1,1
grave,2,3
It'll,0,1
concert!',1,1
subject!,1,0
'Everything's,0,1
did,',3,1
know--No,1,1
shingle--will,1,1
door,,3,5
alarm,1,1
door.,2,0
dog,2,2
subject.,1,0
letters.,1,0
Alice,),2,2
gloves--that,1,1
flapper,1,1
Canterbury,,1,1
on!',4,6
notion,3,2
door;,1,1
door:,1,1
decidedly,1,1
saying,10,5
adventures--beginning,1,1
knock,,1,1
lessons:,1,1
little!',1,1
SHOES.',1,1
retire,1,1
sneezing,,1,1
sneezing.,1,0
ending,1,1
trial's,2,3
lessons,,1,1
attempts,1,1
terror.,1,0
rope--Will,1,1
ringlets,,1,1
queer,8,9
earth,1,1
pope,,1,1
lessons,4,2
sir,',1,1
('That's,1,1
be!',1,1
spite,1,1
eye,,1,1
never'),1,1
explain,5,5
THAT,6,5
glass.),1,1
nervous,,1,1
spoke;,1,1
offended!',1,1
roses.,1,0
deepest,1,1
rich,1,1
Northumbria,,1,1
green,,1,1
them--and,2,2
haven't,',1,1
'no,1,1
do,25,34
story.',1,1
bit.,2,0
mouths,1,1
air,2,2
squeaking,2,2
watch,5,5
empty:,1,1
coast,1,1
patted,1,1
shutting,2,2
Ann,,1,2
label,,1,1
them.',2,2
altogether,1,1
window!',1,1
'moral,',1,1
learned,1,1
Ann!,1,0
about,,6,3
sun.,1,0
deny,2,2
Bill,',2,2
sky.,1,0
nicely,2,2
anxiously,9,10
places!',1,1
them:,1,1
licking,1,1
twice,1,1
bad,1,1
softly,1,1
three-legged,2,2
'Please,,0,1
them.,1,0
'Stuff,1,1
signify:,1,1
judge,,3,3
'I--I,1,1
ears,4,3
cats.',1,1
do?',1,1
blew,1,1
shoes!',1,1
laughing:,1,1
questions,2,2
fair,1,1
clearly,',1,1
porpoise.',1,1
present--at,1,1
offended.,1,0
'Shan't,',0,1
offended,,1,1
twelve?,1,0
BEG,1,1
means.',1,1
depends,1,1
decided,2,3
submitted,1,1
dears,1,1
of?',2,3
Morcar,,1,1
Hardly,0,1
best,3,6
subject,2,1
pebbles,2,2
'Sit,1,1
said,275,46
Run,0,1
lessons,',2,1
'May,1,1
stairs.,1,0
stairs!,1,0
Lory,,1,3
away,15,12
'You're,3,6
curious.',1,1
'Now,,2,4
things!',4,3
there's,12,7
note-book,,1,1
finger,2,3
'Ahem!',0,1
sorts,2,1
toffee,,1,1
claws,1,1
we,13,13
reasons.,1,0
terms,1,1
from,',1,1
confusion,3,3
here,',4,4
weak,2,2
yet?',2,2
Edgar,1,1
camomile,1,1
now.',4,4
'that,6,6
'Back,0,1
listen,,1,1
drew,5,5
'and,33,30
seriously,,1,1
'What!,0,0
picking,2,2
do!',2,3
'Fury,1,1
kitchen,2,2
pity,1,1
hours,3,3
accident,1,1
box--,1,1
'You've,1,1
'THAT,2,2
country,1,1
fifth,1,1
cup,1,1
adventures,2,2
against,9,7
trouble,,1,1
him),,1,1
players,2,2
natural);,1,1
ring,,2,2
games,1,1
longer!',1,1
draw,,1,1
directly.,1,0
pet:,1,1
Duchess,,1,8
Duchess.,1,0
tone,3,2
go,',2,1
witness.',2,2
doubt,,2,2
royal,1,2
wags,1,1
Duchess!,3,0
lullaby,1,1
height,4,3
them--',1,1
Though,1,1
dropped,,1,1
then--I,1,1
Duchess;,1,2
Duchess:,1,4
waist,',1,1
rapidly;,1,1
rapidly:,1,1
doubt:,1,1
speak,5,7
now,,6,6
skirt,,1,1
now.,1,0
'we,3,3
Hatter's,1,1
I've,17,13
ceiling,,1,1
proposal.,1,0
three,12,15
been,12,28
quarrelling,2,2
chimneys,1,1
'stupid,1,1
apples,,1,2
belongs,2,1
Good-bye,,0,1
bat?',1,1
deep,,2,2
'than,1,1
Northumbria--"',1,1
wood,',1,1
lovely,1,1
threw,2,2
dry,6,7
life,2,2
Game,,1,1
pounds!,1,0
mushroom,3,4
so,',4,2
room!,1,0
arm-chair,1,1
bit.',1,1
uncommon,1,1
argument,4,2
time?',1,1
speaker,',1,1
'--that,1,1
child,3,3
catch,2,2
puzzled,,1,1
toes?',1,1
doth,2,1
one,',3,2
affair,,1,1
Gryphon,,2,11
save,1,1
angry.,1,0
toast,),1,1
tried.,1,0
first--they,1,1
been.,1,0
think,',2,2
muchness?',1,1
ask:,1,1
HERE.',1,1
near,12,5
zigzag,,1,1
neat,1,1
slate--Oh,,1,1
holding,,1,1
stopping,1,1
"Such,1,1
voice,12,13
'Cheshire,0,1
mistake,2,2
remembering,1,1
over.,1,0
seven,1,1
thought.,1,0
over),1,1
played,1,1
desperately:,1,1
HATED,1,1
is,47,41
trees,,2,2
it,200,182
stiff.,1,0
eyes.--'Tell,1,1
'My,2,2
Rabbit's--'Pat!,1,0
clinging,1,1
thought;,1,1
in,224,101
mouse,2,3
Tell,0,3
said.,3,0
if,43,20
grown,4,7
'YOU'D,1,1
him--How,1,1
alarm.,1,0
things,15,18
make,14,13
thin--and,1,1
Stop,0,1
"I,4,7
V.,1,0
linked,1,1
forehead,2,2
manner,,1,1
really?',1,1
unfortunate,3,3
isn't,',1,1
advisable--"',1,1
several,4,4
'Drink,1,1
Dinah,,3,3
Alas!,1,0
axes,',1,1
guinea-pigs,,2,2
ask!,1,0
tops,1,1
Dinah!,1,0
Alice's,,1,1
hand,8,8
delight,1,1
marched,1,1
expected:,1,1
'There's,1,5
Dinah:,1,1
SOUP!',1,1
Half-past,0,1
escape!',1,1
dozing,1,1
opportunity,4,2
he'll,1,1
made.,1,0
kid,1,3
butter,1,1
alas!,1,0
last!',1,1
Fury:,1,1
kept,11,11
replied;,2,3
matters,2,2
are,',1,1
settled,3,1
around,2,2
humble,1,1
Mind,0,1
(for,,1,1
proceed,',1,1
replied,,4,5
replied.,5,0
thing.,1,0
sorrow?',1,1
thing,,4,3
fidgeted.,1,0
remark.,3,0
Table,1,1
the,411,657
bottle,,1,2
yours,1,1
left,10,9
on?',2,1
'Never!',0,1
she'll,2,2
afraid,,1,2
twentieth,1,1
just,29,24
sentence,4,4
'however,,1,1
ago:,1,1
sleepy,3,3
Owl,,1,1
verses,1,3
minutes,,1,1
feet,,4,6
break.,1,0
feet!,1,0
